Quantify Compound Summary Report 												
												
Printed Tue Mar 26 11:36:13 2024												
												
Compound 1:  Sodium pyruvate m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
13	13	XS1_240322_50_NC_F_90_M1		0	14.14	27.68		27.68	bb			6
30	30	XS1_240322_51_NC_F_90_M2		0	14.56	15.793		15.793	bb			4
26	26	XS1_240322_54_CA_F_90_N1		0	14.23	1.523		1.523	bb			2
37	37	XS1_240322_55_CA_F_90_N2		0	14.43	3.276		3.276	bb			2
15	15	XS1_240322_58_NC_media_AK1		0								
16	16	XS1_240322_59_NC_media_AK2		0	14.36	2.349		2.349	bb			5
24	24	XS1_240322_60_CA_media_AL1		0								
19	19	XS1_240322_61_CA_media_AL2		0								
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0	14.24	6.126		6.126	bb			3
31	31	XS1_240322_MB_PooledQC_05		0								
10	10	XS1_240322_MB_PooledQC_06		0	14.42	11.388		11.388	bb			3
1	1	XS1_240322_MB_SST_01		0	14.06	1096.846		1096.846	bb			298
38	38	XS1_240322_MB_SST_02		0	14.03	703.828		703.828	bb			187
												
Compound 2:  Sodium pyruvate m+1												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	14.35	0.358		0.358	bb			1
2	2	XS1_240322_02_NC_C_A2		0	14.41	1.513		1.513	bb			1
8	8	XS1_240322_06_CA_C_B1		0	14.25	0.377		0.377	bb			1
20	20	XS1_240322_07_CA_C_B2		0	14.13	0.311		0.311	bb			1
36	36	XS1_240322_10_NC_F_7_C1		0	14.51	0.766		0.766	bb			2
29	29	XS1_240322_11_NC_F_7_C2		0								
27	27	XS1_240322_14_CA_F_7_D1		0	14.22	0.369		0.369	bb			1
35	35	XS1_240322_15_CA_F_7_D2		0	14.13	0.208		0.208	bb			1
22	22	XS1_240322_18_NC_F_15_E1		0	14.2	0.171		0.171	bb			1
28	28	XS1_240322_19_NC_F_15_E2		0	14.18	0.755		0.755	bb			1
34	34	XS1_240322_22_CA_F_15_F1		0	14.44	1.14		1.14	bb			1
32	32	XS1_240322_23_CA_F_15_F2		0	13.9	0.283		0.283	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0								
23	23	XS1_240322_27_NC_F_30_g2		0	14.14	0.469		0.469	bb			1
5	5	XS1_240322_30_CA_h_30_h1		0	14.04	0.386		0.386	bb			1
9	9	XS1_240322_31_CA_h_30_h2		0	14.6	0.228		0.228	bb			1
12	12	XS1_240322_34_NC_F_45_I1		0	14.25	0.087		0.087	bb			1
11	11	XS1_240322_35_NC_F_45_I2		0	14.18	3.398		3.398	bb			2
3	3	XS1_240322_38_CA_J_45_J1		0								
7	7	XS1_240322_39_CA_J_45_J2		0	14.14	2.059		2.059	bb			2
33	33	XS1_240322_42_NC_K_60_K1		0	14.26	0.063		0.063	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0								
21	21	XS1_240322_46_CA_F_60_L1		0	14.26	1.933		1.933	bb			2
6	6	XS1_240322_47_CA_F_60_L2		0	14.59	1.706		1.706	bb			2
13	13	XS1_240322_50_NC_F_90_M1		0	14.18	0.702		0.702	bb			1
30	30	XS1_240322_51_NC_F_90_M2		0	14.24	0.137		0.137	bb			0
26	26	XS1_240322_54_CA_F_90_N1		0	14.14	1.222		1.222	bb			1
37	37	XS1_240322_55_CA_F_90_N2		0	14.1	0.369		0.369	bb			1
15	15	XS1_240322_58_NC_media_AK1		0								
16	16	XS1_240322_59_NC_media_AK2		0	14.06	0.196		0.196	bb			1
24	24	XS1_240322_60_CA_media_AL1		0	14.34	0.867		0.867	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	14.17	0.425		0.425	bb			1
18	18	XS1_240322_MB_PooledQC_03		0								
25	25	XS1_240322_MB_PooledQC_04		0	14.3	1.311		1.311	bb			1
31	31	XS1_240322_MB_PooledQC_05		0	14.17	1.073		1.073	bb			2
10	10	XS1_240322_MB_PooledQC_06		0	14.12	0.903		0.903	bb			1
1	1	XS1_240322_MB_SST_01		0	14.01	10.747		10.747	bb			5
38	38	XS1_240322_MB_SST_02		0	14.08	12.132		12.132	bb			5
												
Compound 3:  Sodium pyruvate m+2												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	14.29	0.072		0.072	bb			0
2	2	XS1_240322_02_NC_C_A2		0	14.47	2.361		2.361	bb			2
8	8	XS1_240322_06_CA_C_B1		0	14.08	0.37		0.37	bb			1
20	20	XS1_240322_07_CA_C_B2		0	14.42	3.292		3.292	bb			1
36	36	XS1_240322_10_NC_F_7_C1		0	14.22	1.005		1.005	bb			3
29	29	XS1_240322_11_NC_F_7_C2		0	14.22	1.346		1.346	bb			2
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0	14.59	4.47		4.47	bb			2
22	22	XS1_240322_18_NC_F_15_E1		0								
28	28	XS1_240322_19_NC_F_15_E2		0	14.05	2.55		2.55	bb			2
34	34	XS1_240322_22_CA_F_15_F1		0	14.19	0.218		0.218	bb			0
32	32	XS1_240322_23_CA_F_15_F2		0	14.13	0.571		0.571	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0								
23	23	XS1_240322_27_NC_F_30_g2		0	14.1	0.31		0.31	bb			1
5	5	XS1_240322_30_CA_h_30_h1		0	13.73	1.839		1.839	bb			2
9	9	XS1_240322_31_CA_h_30_h2		0	14.42	2.02		2.02	bb			1
12	12	XS1_240322_34_NC_F_45_I1		0	14.37	2.537		2.537	bb			1
11	11	XS1_240322_35_NC_F_45_I2		0	14.53	3.218		3.218	bb			2
3	3	XS1_240322_38_CA_J_45_J1		0	14.13	1.06		1.06	bb			1
7	7	XS1_240322_39_CA_J_45_J2		0	14.19	0.388		0.388	bb			1
33	33	XS1_240322_42_NC_K_60_K1		0	14.3	0.96		0.96	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0	14.27	0.237		0.237	bb			1
21	21	XS1_240322_46_CA_F_60_L1		0								
6	6	XS1_240322_47_CA_F_60_L2		0	14.54	0.146		0.146	bb			0
13	13	XS1_240322_50_NC_F_90_M1		0	14.24	0.151		0.151	bb			1
30	30	XS1_240322_51_NC_F_90_M2		0	14.26	0.925		0.925	bb			1
26	26	XS1_240322_54_CA_F_90_N1		0	14.42	4.931		4.931	bb			2
37	37	XS1_240322_55_CA_F_90_N2		0	14.24	0.316		0.316	bb			1
15	15	XS1_240322_58_NC_media_AK1		0								
16	16	XS1_240322_59_NC_media_AK2		0	14.26	1.881		1.881	bb			2
24	24	XS1_240322_60_CA_media_AL1		0	14.24	0.406		0.406	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	14.18	0.144		0.144	bb			1
18	18	XS1_240322_MB_PooledQC_03		0	14.35	3.376		3.376	bb			2
25	25	XS1_240322_MB_PooledQC_04		0	14.2	2.102		2.102	bb			1
31	31	XS1_240322_MB_PooledQC_05		0	14.43	0.463		0.463	bb			1
10	10	XS1_240322_MB_PooledQC_06		0	14.39	1.454		1.454	bb			1
1	1	XS1_240322_MB_SST_01		0								
38	38	XS1_240322_MB_SST_02		0								
												
Compound 4:  Sodium pyruvate m+3												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	14.24	0.163		0.163	bb			1
2	2	XS1_240322_02_NC_C_A2		0	14.42	0.352		0.352	bb			1
8	8	XS1_240322_06_CA_C_B1		0	14.23	0.043		0.043	bb			0
20	20	XS1_240322_07_CA_C_B2		0	14.54	0.904		0.904	bb			3
36	36	XS1_240322_10_NC_F_7_C1		0	14.2	0.146		0.146	bb			1
29	29	XS1_240322_11_NC_F_7_C2		0	14.11	0.154		0.154	bb			1
27	27	XS1_240322_14_CA_F_7_D1		0								
35	35	XS1_240322_15_CA_F_7_D2		0	14.19	0.163		0.163	bb			1
22	22	XS1_240322_18_NC_F_15_E1		0	14.38	0.18		0.18	bb			1
28	28	XS1_240322_19_NC_F_15_E2		0	14.28	0.272		0.272	bb			1
34	34	XS1_240322_22_CA_F_15_F1		0	14.15	0.224		0.224	bb			1
32	32	XS1_240322_23_CA_F_15_F2		0	14.27	0.189		0.189	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	14.24	0.189		0.189	bb			1
23	23	XS1_240322_27_NC_F_30_g2		0	14.2	0.171		0.171	bb			1
5	5	XS1_240322_30_CA_h_30_h1		0	13.91	0.163		0.163	bb			1
9	9	XS1_240322_31_CA_h_30_h2		0	14.25	0.154		0.154	bb			1
12	12	XS1_240322_34_NC_F_45_I1		0	14.45	0.02		0.02	bb			0
11	11	XS1_240322_35_NC_F_45_I2		0								
3	3	XS1_240322_38_CA_J_45_J1		0	14.21	0.154		0.154	bb			1
7	7	XS1_240322_39_CA_J_45_J2		0	14.21	0.146		0.146	bb			0
33	33	XS1_240322_42_NC_K_60_K1		0	14.3	0.313		0.313	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0	14.42	0.352		0.352	bb			1
21	21	XS1_240322_46_CA_F_60_L1		0	13.77	2.107		2.107	bb			2
6	6	XS1_240322_47_CA_F_60_L2		0	13.88	0.208		0.208	bb			1
13	13	XS1_240322_50_NC_F_90_M1		0	14.24	0.137		0.137	bb			1
30	30	XS1_240322_51_NC_F_90_M2		0								
26	26	XS1_240322_54_CA_F_90_N1		0	13.93	0.326		0.326	bb			1
37	37	XS1_240322_55_CA_F_90_N2		0	14.21	0.223		0.223	bb			1
15	15	XS1_240322_58_NC_media_AK1		0	14.17	0.169		0.169	bb			1
16	16	XS1_240322_59_NC_media_AK2		0	14.22	0.154		0.154	bb			1
24	24	XS1_240322_60_CA_media_AL1		0								
19	19	XS1_240322_61_CA_media_AL2		0	14.11	0.172		0.172	bb			1
18	18	XS1_240322_MB_PooledQC_03		0	14.01	0.163		0.163	bb			1
25	25	XS1_240322_MB_PooledQC_04		0	14.25	0.163		0.163	bb			1
31	31	XS1_240322_MB_PooledQC_05		0								
10	10	XS1_240322_MB_PooledQC_06		0	14.04	0.467		0.467	bb			1
1	1	XS1_240322_MB_SST_01		0	14.33	0.657		0.657	bb			1
38	38	XS1_240322_MB_SST_02		0	14.23	2.266		2.266	bb			2
												
Compound 5:  L-Lactic acid m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	8.17	106.545		106.545	MM			16
2	2	XS1_240322_02_NC_C_A2		0	7.74	164.829		164.829	MM			31
8	8	XS1_240322_06_CA_C_B1		0	8.02	903.816		903.816	MM			612
20	20	XS1_240322_07_CA_C_B2		0	7.73	293.575		293.575	MM			39
36	36	XS1_240322_10_NC_F_7_C1		0	7.69	25.004		25.004	MM			6
29	29	XS1_240322_11_NC_F_7_C2		0	8.21	34.325		34.325	MM			12
27	27	XS1_240322_14_CA_F_7_D1		0	7.65	31.662		31.662	MM			6
35	35	XS1_240322_15_CA_F_7_D2		0	8.23	36.939		36.939	MM			7
22	22	XS1_240322_18_NC_F_15_E1		0	7.73	33.08		33.08	MM			6
28	28	XS1_240322_19_NC_F_15_E2		0	7.69	24.777		24.777	MM			5
34	34	XS1_240322_22_CA_F_15_F1		0	8.29	25.08		25.08	MM			5
32	32	XS1_240322_23_CA_F_15_F2		0	8.21	26.554		26.554	MM			5
4	4	XS1_240322_26_NC_F_30_g1		0	7.69	33.313		33.313	MM			7
23	23	XS1_240322_27_NC_F_30_g2		0	8.43	32.694		32.694	MM			5
5	5	XS1_240322_30_CA_h_30_h1		0	8.26	46.22		46.22	MM			6
9	9	XS1_240322_31_CA_h_30_h2		0	7.69	39.802		39.802	MM			7
12	12	XS1_240322_34_NC_F_45_I1		0	8.28	38.073		38.073	MM			6
11	11	XS1_240322_35_NC_F_45_I2		0	8.24	28.728		28.728	MM			5
3	3	XS1_240322_38_CA_J_45_J1		0	8.46	46.96		46.96	MM			6
7	7	XS1_240322_39_CA_J_45_J2		0	8.18	33.546		33.546	MM			7
33	33	XS1_240322_42_NC_K_60_K1		0	8.2	20.592		20.592	MM			8
14	14	XS1_240322_43_NC_K_60_K2		0	7.75	28.033		28.033	MM			7
21	21	XS1_240322_46_CA_F_60_L1		0	7.69	36.166		36.166	MM			7
6	6	XS1_240322_47_CA_F_60_L2		0	8.19	41.368		41.368	MM			6
13	13	XS1_240322_50_NC_F_90_M1		0	7.75	31.026		31.026	MM			9
30	30	XS1_240322_51_NC_F_90_M2		0	8.21	20.951		20.951	MM			5
26	26	XS1_240322_54_CA_F_90_N1		0	7.69	37.594		37.594	MM			4
37	37	XS1_240322_55_CA_F_90_N2		0	8.19	31.207		31.207	MM			5
15	15	XS1_240322_58_NC_media_AK1		0	8.29	8.343		8.343	MM			4
16	16	XS1_240322_59_NC_media_AK2		0	8.39	5.874		5.874	MM			3
24	24	XS1_240322_60_CA_media_AL1		0	7.8	0.979		0.979	bb			2
19	19	XS1_240322_61_CA_media_AL2		0	8.4	8.027		8.027	MM			4
18	18	XS1_240322_MB_PooledQC_03		0	7.89	115.825		115.825	bb			78
25	25	XS1_240322_MB_PooledQC_04		0								
31	31	XS1_240322_MB_PooledQC_05		0	7.53	19.727		19.727	bb			4
10	10	XS1_240322_MB_PooledQC_06		0	7.71	9.785		9.785	bb			4
1	1	XS1_240322_MB_SST_01		0	7.58	16555.791		16555.791	bb			319
38	38	XS1_240322_MB_SST_02		0	7.57	15652.647		15652.647	MM			250
												
Compound 6:  L-Lactic acid m+1												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	7.75	0.743		0.743	bb			2
2	2	XS1_240322_02_NC_C_A2		0	7.91	0.566		0.566	bb			2
8	8	XS1_240322_06_CA_C_B1		0	8.7	0.305		0.305	MM			1
20	20	XS1_240322_07_CA_C_B2		0	7.83	0.557		0.557	bb			1
36	36	XS1_240322_10_NC_F_7_C1		0	7.63	0.245		0.245	bb			1
29	29	XS1_240322_11_NC_F_7_C2		0	7.45	0.154		0.154	bb			1
27	27	XS1_240322_14_CA_F_7_D1		0	8.14	0.39		0.39	MM			1
35	35	XS1_240322_15_CA_F_7_D2		0	7.19	0.163		0.163	bb			1
22	22	XS1_240322_18_NC_F_15_E1		0	7.81	0.846		0.846	bb			3
28	28	XS1_240322_19_NC_F_15_E2		0	7.8	0.357		0.357	bb			1
34	34	XS1_240322_22_CA_F_15_F1		0	7.71	0.675		0.675	bb			1
32	32	XS1_240322_23_CA_F_15_F2		0	7.22	0.323		0.323	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	8.22	0.371		0.371	MM			1
23	23	XS1_240322_27_NC_F_30_g2		0	7.7	0.3		0.3	bb			1
5	5	XS1_240322_30_CA_h_30_h1		0	7.16	0.891		0.891	bb			2
9	9	XS1_240322_31_CA_h_30_h2		0	9.15	0.576		0.576	MM			1
12	12	XS1_240322_34_NC_F_45_I1		0	7.62	0.15		0.15	bb			0
11	11	XS1_240322_35_NC_F_45_I2		0	7.12	1.903		1.903	bb			1
3	3	XS1_240322_38_CA_J_45_J1		0	7.64	0.5		0.5	bb			1
7	7	XS1_240322_39_CA_J_45_J2		0	9.5	0.034		0.034	MM			1
33	33	XS1_240322_42_NC_K_60_K1		0	7.69	0.206		0.206	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0	7.77	0.895		0.895	bb			2
21	21	XS1_240322_46_CA_F_60_L1		0	8.3	0.797		0.797	MM			1
6	6	XS1_240322_47_CA_F_60_L2		0	9.65	0.135		0.135	MM			0
13	13	XS1_240322_50_NC_F_90_M1		0	8.23	0.728		0.728	MM			2
30	30	XS1_240322_51_NC_F_90_M2		0	10.14	0.009		0.009	MM			0
26	26	XS1_240322_54_CA_F_90_N1		0	10.22	0.154		0.154	MM			1
37	37	XS1_240322_55_CA_F_90_N2		0	7.77	2.059		2.059	bb			3
15	15	XS1_240322_58_NC_media_AK1		0	7.32	0.163		0.163	bb			1
16	16	XS1_240322_59_NC_media_AK2		0	7.1	0.666		0.666	bb			2
24	24	XS1_240322_60_CA_media_AL1		0	7.84	0.12		0.12	bb			0
19	19	XS1_240322_61_CA_media_AL2		0	7.58	0.12		0.12	bb			1
18	18	XS1_240322_MB_PooledQC_03		0	7.32	0.408		0.408	bb			1
25	25	XS1_240322_MB_PooledQC_04		0	7.83	0.188		0.188	bb			1
31	31	XS1_240322_MB_PooledQC_05		0	7.16	0.346		0.346	bb			2
10	10	XS1_240322_MB_PooledQC_06		0	7.74	0.146		0.146	bb			0
1	1	XS1_240322_MB_SST_01		0	7.58	56.9		56.9	bb			20
38	38	XS1_240322_MB_SST_02		0	7.62	36.186		36.186	bb			13
												
Compound 7:  L-Lactic acid m+2												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	7.47	0.184		0.184	bb			1
2	2	XS1_240322_02_NC_C_A2		0	8.28	0.149		0.149	MM			1
8	8	XS1_240322_06_CA_C_B1		0	7.94	0.683		0.683	bb			2
20	20	XS1_240322_07_CA_C_B2		0	7.43	0.275		0.275	bb			1
36	36	XS1_240322_10_NC_F_7_C1		0	8.05	0.031		0.031	MM			1
29	29	XS1_240322_11_NC_F_7_C2		0	7.75	0.197		0.197	bb			1
27	27	XS1_240322_14_CA_F_7_D1		0	7.7	0.206		0.206	bb			1
35	35	XS1_240322_15_CA_F_7_D2		0	8.89	0.155		0.155	MM			1
22	22	XS1_240322_18_NC_F_15_E1		0	7.81	0.173		0.173	bb			0
28	28	XS1_240322_19_NC_F_15_E2		0	7.43	0.154		0.154	bb			1
34	34	XS1_240322_22_CA_F_15_F1		0	7.64	0.297		0.297	bb			0
32	32	XS1_240322_23_CA_F_15_F2		0	7.64	0.184		0.184	bb			1
4	4	XS1_240322_26_NC_F_30_g1		0	7.31	0.163		0.163	bb			0
23	23	XS1_240322_27_NC_F_30_g2		0	7.99	0.295		0.295	MM			1
5	5	XS1_240322_30_CA_h_30_h1		0	7.46	0.197		0.197	bb			1
9	9	XS1_240322_31_CA_h_30_h2		0	7.59	0.437		0.437	bb			1
12	12	XS1_240322_34_NC_F_45_I1		0	7.74	0		0	MM			0
11	11	XS1_240322_35_NC_F_45_I2		0	8.97	0.16		0.16	MM			0
3	3	XS1_240322_38_CA_J_45_J1		0	7.41	0.385		0.385	MM			1
7	7	XS1_240322_39_CA_J_45_J2		0	7.72	0.791		0.791	bb			1
33	33	XS1_240322_42_NC_K_60_K1		0	7.26	0.146		0.146	bb			1
14	14	XS1_240322_43_NC_K_60_K2		0	7.12	0.986		0.986	bb			2
21	21	XS1_240322_46_CA_F_60_L1		0	7.44	0.146		0.146	bb			0
6	6	XS1_240322_47_CA_F_60_L2		0	9.09	0.022		0.022	MM			0
13	13	XS1_240322_50_NC_F_90_M1		0	7.12	0.476		0.476	bb			2
30	30	XS1_240322_51_NC_F_90_M2		0	9.35	0.181		0.181	MM			1
26	26	XS1_240322_54_CA_F_90_N1		0	9.69	0.243		0.243	MM			1
37	37	XS1_240322_55_CA_F_90_N2		0	7.12	0.123		0.123	bb			1
15	15	XS1_240322_58_NC_media_AK1		0	7.22	0.309		0.309	bb			1
16	16	XS1_240322_59_NC_media_AK2		0	7.14	0.485		0.485	bb			1
24	24	XS1_240322_60_CA_media_AL1		0	7.34	0.313		0.313	bb			1
19	19	XS1_240322_61_CA_media_AL2		0	7.52	0.583		0.583	bb			1
18	18	XS1_240322_MB_PooledQC_03		0	7.49	0.508		0.508	bb			1
25	25	XS1_240322_MB_PooledQC_04		0	7.58	0.189		0.189	bb			1
31	31	XS1_240322_MB_PooledQC_05		0	7.63	0.224		0.224	bb			1
10	10	XS1_240322_MB_PooledQC_06		0	7.54	0.164		0.164	bb			1
1	1	XS1_240322_MB_SST_01		0	7.55	4.336		4.336	bb			3
38	38	XS1_240322_MB_SST_02		0	7.59	8.881		8.881	bb			4
												
Compound 8:  L-Lactic acid m+3												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	7.53	0.514		0.514	bb			1
2	2	XS1_240322_02_NC_C_A2		0	7.35	1.162		1.162	bb			1
8	8	XS1_240322_06_CA_C_B1		0	7.26	0.48		0.48	bb			1
20	20	XS1_240322_07_CA_C_B2		0	7.67	0.362		0.362	bb			1
36	36	XS1_240322_10_NC_F_7_C1		0	7.65	4.727		4.727	MM			2
29	29	XS1_240322_11_NC_F_7_C2		0	8.26	9.585		9.585	MM			3
27	27	XS1_240322_14_CA_F_7_D1		0	7.64	15.907		15.907	MM			3
35	35	XS1_240322_15_CA_F_7_D2		0	8.38	17.157		17.157	MM			4
22	22	XS1_240322_18_NC_F_15_E1		0	8.23	8.151		8.151	MM			3
28	28	XS1_240322_19_NC_F_15_E2		0	7.91	2.451		2.451	MM			1
34	34	XS1_240322_22_CA_F_15_F1		0	8.39	15.684		15.684	MM			5
32	32	XS1_240322_23_CA_F_15_F2		0	7.62	13.9		13.9	MM			3
4	4	XS1_240322_26_NC_F_30_g1		0	8.25	24.572		24.572	MM			5
23	23	XS1_240322_27_NC_F_30_g2		0	8.51	20.82		20.82	MM			5
5	5	XS1_240322_30_CA_h_30_h1		0	8.18	83.099		83.099	MM			20
9	9	XS1_240322_31_CA_h_30_h2		0	7.69	67.44		67.44	MM			9
12	12	XS1_240322_34_NC_F_45_I1		0	7.69	30.581		30.581	MM			8
11	11	XS1_240322_35_NC_F_45_I2		0	7.73	42.49		42.49	MM			11
3	3	XS1_240322_38_CA_J_45_J1		0	7.64	130.924		130.924	MM			26
7	7	XS1_240322_39_CA_J_45_J2		0	8.21	131.181		131.181	MM			25
33	33	XS1_240322_42_NC_K_60_K1		0	8.2	35.803		35.803	MM			8
14	14	XS1_240322_43_NC_K_60_K2		0	8.26	44.017		44.017	MM!			11
21	21	XS1_240322_46_CA_F_60_L1		0	7.73	168.846		168.846	MM			33
6	6	XS1_240322_47_CA_F_60_L2		0	8.17	150.954		150.954	MM			28
13	13	XS1_240322_50_NC_F_90_M1		0	7.69	66.476		66.476	MM			15
30	30	XS1_240322_51_NC_F_90_M2		0	7.74	157.017		157.017	MM			26
26	26	XS1_240322_54_CA_F_90_N1		0	7.7	299.651		299.651	MM			49
37	37	XS1_240322_55_CA_F_90_N2		0	7.73	287.214		287.214	MM			63
15	15	XS1_240322_58_NC_media_AK1		0								
16	16	XS1_240322_59_NC_media_AK2		0	7.42	0.18		0.18	bb			1
24	24	XS1_240322_60_CA_media_AL1		0								
19	19	XS1_240322_61_CA_media_AL2		0								
18	18	XS1_240322_MB_PooledQC_03		0	7.89	148.854		148.854	bb			127
25	25	XS1_240322_MB_PooledQC_04		0	7.4	3.28		3.28	bb			1
31	31	XS1_240322_MB_PooledQC_05		0								
10	10	XS1_240322_MB_PooledQC_06		0	7.79	5.135		5.135	bb			6
1	1	XS1_240322_MB_SST_01		0	7.6	1.232		1.232	bb			1
38	38	XS1_240322_MB_SST_02		0	7.64	0.785		0.785	bb			1
												
Compound 9:  succinic acid m+0												
												
	#	Name	Type	Std. Conc	RT	Area	IS Area	Response	Primary Flags	nM	%Dev	S/N
17	17	XS1_240322_01_NC_C_A1		0	12.48	3010.802		3010.802	bb			3217
2	2	XS1_240322_02_NC_C_A2		0	12.49	4578.552		4578.552	bb			4526
8	8	XS1_240322_06_CA_C_B1		0	12.5	5084.34		5084.34	bb			5282
20	20	XS1_240322_07_CA_C_B2		0	12.48	6048.79		6048.79	bb			5811
36	36	XS1_240322_10_NC_F_7_C1		0	12.47	4920.552		4920.552	bb			4438
29	29	XS1_240322_11_NC_F_7_C2		0	12.49	3661.045		3661.045	bb			3422
27	27	XS1_240322_14_CA_F_7_D1		0	12.47	6695.958		6695.958	bb			8119
35	35	XS1_240322_15_CA_F_7_D2		0	12.47	7201.299		7201.299	bb			5794
22	22	XS1_240322_18_NC_F_15_E1		0	12.48	4548.788		4548.788	bb			5009
28	28	XS1_240322_19_NC_F_15_E2		0	12.47	4640.448		4640.448	bb			3553
34	34	XS1_240322_22_CA_F_15_F1		0	12.47	7890.575		7890.575	bb			8165
32	32	XS1_240322_23_CA_F_15_F2		0	12.47	5797.35		5797.35	bb			5874
4	4	XS1_240322_26_NC_F_30_g1		0	12.48	4113.729		4113.729	bb			4188
23	23	XS1_240322_27_NC_F_30_g2		0	12.48	3813.705		3813.705	bb			4210
5	5	XS1_240322_30_CA_h_30_h1		0	12.49	5322.219		5322.219	bb			5643
9	9	XS1_240322_31_CA_h_30_h2		0	12.47	5701.476		5701.476	bb			6182
12	12	XS1_240322_34_NC_F_45_I1		0	12.47	4000.468		4000.468	bb			3206
11	11	XS1_240322_35_NC_F_45_I2		0	12.48	4540.52		4540.52	bb			4232
3	3	XS1_240322_38_CA_J_45_J1		0	12.47	5820.64		5820.64	bb			4555
7	7	XS1_240322_39_CA_J_45_J2		0	12.49	4996.238		4996.238	bb			4806
33	33	XS1_240322_42_NC_K_60_K1		0	12.48	3463.804		3463.804	bb			3927
14	14	XS1_240322_43_NC_K_60_K2		0	12.48	3567.257		3567.257	bb			3285
21	21	XS1_240322_46_CA_F_60_L1		0	12.48	6573.326		6573.326	bb			6861
6	6	XS1_240322_47_CA_F_60_L2		0	12.5	5529.051		5529.051	bb			5888
13	13	XS1_240322_50_NC_F_90_M1		0	12.49	3875.841		3875.841	bb			3616
